Program ParDeg inputSize wmName tComputation tTotal
fastFlowMemory 2 1499 polaroid-02.png 70137920 78919296
threads 2 1499 polaroid-02.png 172734583 172882573
threadsMemory 2 1499 polaroid-02.png 67272535 76228122
grPPi 2 1499 polaroid-02.png 196651165 196767052
grPPiMemory 2 1499 polaroid-02.png 66363775 77056975
parallelFor 4 1499 polaroid-02.png 87921291 88055133
parallelForMemory 4 1499 polaroid-02.png 30515832 39377716
fastFlow 4 1499 polaroid-02.png 87878070 88020485
fastFlowMemory 4 1499 polaroid-02.png 35333889 44272972
threads 4 1499 polaroid-02.png 87610507 87757586
threadsMemory 4 1499 polaroid-02.png 35024768 43943560
grPPi 4 1499 polaroid-02.png 102727474 102846969
grPPiMemory 4 1499 polaroid-02.png 36918348 47522564
parallelFor 8 1499 polaroid-02.png 44186941 44335293
parallelForMemory 8 1499 polaroid-02.png 15326180 24220510
fastFlow 8 1499 polaroid-02.png 45045322 45193030
fastFlowMemory 8 1499 polaroid-02.png 18044541 26873195
threads 8 1499 polaroid-02.png 47796041 47936369
threadsMemory 8 1499 polaroid-02.png 19167609 28080191
grPPi 8 1499 polaroid-02.png 54608811 54731504
grPPiMemory 8 1499 polaroid-02.png 17570520 28257347
parallelFor 16 1499 polaroid-02.png 22259091 22396282
parallelForMemory 16 1499 polaroid-02.png 7724104 16682300
fastFlow 16 1499 polaroid-02.png 23135177 23271193
fastFlowMemory 16 1499 polaroid-02.png 9364045 18231808
threads 16 1499 polaroid-02.png 25330683 25468927
threadsMemory 16 1499 polaroid-02.png 9084740 17880841
grPPi 16 1499 polaroid-02.png 28017152 28130378
grPPiMemory 16 1499 polaroid-02.png 8645049 19300317
parallelFor 32 1499 polaroid-02.png 11275874 11412834
parallelForMemory 32 1499 polaroid-02.png 3898289 12663023
fastFlow 32 1499 polaroid-02.png 11810705 11959798
fastFlowMemory 32 1499 polaroid-02.png 5006474 13807625
threads 32 1499 polaroid-02.png 12087002 12226072
threadsMemory 32 1499 polaroid-02.png 4563245 13389804
grPPi 32 1499 polaroid-02.png 13873503 13987294
